kind,action,symbol,reason,stop_price,order_id,timestamp_utc,logged_at_utc,stage,qty,unrealized_r,autonomous_fill_journaled,fill_price,order_status,error,slice_combination,stable_filter,current_stable_state,bars_held,horizon_bars,timeframe,r_multiple_suppressed_horizon,context_source,r_per_share,r_dollars,atr,bin_mode,matched,tradable,bar_ts_utc,close_adj,current_state,slice_label,side,suggested_qty,suggested_side,suggested_notional,risk_group,exit_horizon,stop_atr_mult,regime_symbol,regime,regime_favourable,regime_close,regime_short_ma,regime_long_ma,sizing_mode,sizing_conviction,sizing_target_notional,sizing_atr,sizing_qty_notional,sizing_qty_risk,sizing_expected_cost_bps_rt,risk_check,blocked_reasons
entry_signal,block,SPY,risk_gate,,,2026-07-28T02:46:31.937290+00:00,2026-07-28T02:46:32.018376+00:00,,,,,,,,state_session=afternoon + state_slope=downtrend,,,,,1h,,,,,,insample,True,False,2026-07-27 19:00:00+00:00,738.85,"{'state_ext': 'neutral', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_volume': 'vol_quiet', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_utc_session': 'utc_us', 'state_weekpart': 'weekday', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_up', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'mod_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_flat', 'state_vol_day': 'vol_day_mid', 'state_funding': 'funding_neutral', 'state_oi': 'oi_flat', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_weak', 'state_dxy': 'dxy_flat'}",,long,1.0,buy,738.85,state_slope=downtrend,5.0,2.0,SPY,gate_disabled,True,,,,conviction_with_vol_rail,1.0,1000.0,2.9728,1.0,100.0,14.0,"{'allowed': False, 'reasons': ['already have an open position in SPY'], 'details': {'symbol': 'SPY', 'qty': 1, 'price': 738.85, 'side': 'long', 'notional': 738.85, 'open_position_count': 1, 'today_realized_pnl': 0.0, 'risk_group': 'state_slope=downtrend', 'aggregate_risk': {'current_open_risk_dollars': 0.0, 'proposed_r_dollars': 5.95, 'projected_open_risk_dollars': 5.95, 'budget_dollars': 1999.05, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 0.0, 'proposed_notional': 738.85, 'projected_open_notional': 738.85, 'budget_notional': 99952.62, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 33, 'resolved_order_ids': 33, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",already have an open position in SPY
entry_signal,skip,XLF,no_state_data,,,2026-07-28T03:46:11.414766+00:00,2026-07-28T03:46:19.410182+00:00,,,,,,,no_state_data,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLF,nan_state_features,,,2026-07-28T03:46:11.425232+00:00,2026-07-28T03:46:19.426301+00:00,,,,,,,,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,skip,XLK,no_state_data,,,2026-07-28T03:46:11.442147+00:00,2026-07-28T03:46:19.441963+00:00,,,,,,,no_state_data,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLK,nan_state_features,,,2026-07-28T03:46:11.452435+00:00,2026-07-28T03:46:19.457350+00:00,,,,,,,,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,block,SPY,risk_gate,,,2026-07-28T03:46:19.409542+00:00,2026-07-28T03:46:19.472859+00:00,,,,,,,,state_session=afternoon + state_slope=downtrend,,,,,1h,,,,,,insample,True,False,2026-07-27 19:00:00+00:00,738.85,"{'state_ext': 'neutral', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_volume': 'vol_quiet', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_utc_session': 'utc_us', 'state_weekpart': 'weekday', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_up', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'mod_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_flat', 'state_vol_day': 'vol_day_mid', 'state_funding': 'funding_neutral', 'state_oi': 'oi_flat', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_weak', 'state_dxy': 'dxy_flat'}",,long,1.0,buy,738.85,state_slope=downtrend,5.0,2.0,SPY,gate_disabled,True,,,,conviction_with_vol_rail,1.0,1000.0,2.9728,1.0,100.0,14.0,"{'allowed': False, 'reasons': ['already have an open position in SPY'], 'details': {'symbol': 'SPY', 'qty': 1, 'price': 738.85, 'side': 'long', 'notional': 738.85, 'open_position_count': 1, 'today_realized_pnl': 0.0, 'risk_group': 'state_slope=downtrend', 'aggregate_risk': {'current_open_risk_dollars': 0.0, 'proposed_r_dollars': 5.95, 'projected_open_risk_dollars': 5.95, 'budget_dollars': 1999.05, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 0.0, 'proposed_notional': 738.85, 'projected_open_notional': 738.85, 'budget_notional': 99952.62, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 33, 'resolved_order_ids': 33, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",already have an open position in SPY
entry_signal,skip,XLF,no_state_data,,,2026-07-28T04:46:24.315773+00:00,2026-07-28T04:46:36.567156+00:00,,,,,,,no_state_data,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLF,nan_state_features,,,2026-07-28T04:46:24.327771+00:00,2026-07-28T04:46:36.589164+00:00,,,,,,,,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,skip,XLK,no_state_data,,,2026-07-28T04:46:24.344977+00:00,2026-07-28T04:46:36.611727+00:00,,,,,,,no_state_data,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLK,nan_state_features,,,2026-07-28T04:46:24.354404+00:00,2026-07-28T04:46:36.633117+00:00,,,,,,,,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,block,SPY,risk_gate,,,2026-07-28T04:46:36.566620+00:00,2026-07-28T04:46:36.655172+00:00,,,,,,,,state_session=afternoon + state_slope=downtrend,,,,,1h,,,,,,insample,True,False,2026-07-27 19:00:00+00:00,738.85,"{'state_ext': 'neutral', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_volume': 'vol_quiet', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_utc_session': 'utc_us', 'state_weekpart': 'weekday', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_up', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'mod_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_flat', 'state_vol_day': 'vol_day_mid', 'state_funding': 'funding_neutral', 'state_oi': 'oi_flat', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_weak', 'state_dxy': 'dxy_flat'}",,long,1.0,buy,738.85,state_slope=downtrend,5.0,2.0,SPY,gate_disabled,True,,,,conviction_with_vol_rail,1.0,1000.0,2.9728,1.0,100.0,14.0,"{'allowed': False, 'reasons': ['already have an open position in SPY'], 'details': {'symbol': 'SPY', 'qty': 1, 'price': 738.85, 'side': 'long', 'notional': 738.85, 'open_position_count': 1, 'today_realized_pnl': 0.0, 'risk_group': 'state_slope=downtrend', 'aggregate_risk': {'current_open_risk_dollars': 0.0, 'proposed_r_dollars': 5.95, 'projected_open_risk_dollars': 5.95, 'budget_dollars': 1999.05, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 0.0, 'proposed_notional': 738.85, 'projected_open_notional': 738.85, 'budget_notional': 99952.62, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 33, 'resolved_order_ids': 33, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",already have an open position in SPY
entry_signal,skip,XLF,no_state_data,,,2026-07-28T05:46:18.028591+00:00,2026-07-28T05:46:30.527917+00:00,,,,,,,no_state_data,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLF,nan_state_features,,,2026-07-28T05:46:18.042917+00:00,2026-07-28T05:46:30.550212+00:00,,,,,,,,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,skip,XLK,no_state_data,,,2026-07-28T05:46:18.062166+00:00,2026-07-28T05:46:30.572007+00:00,,,,,,,no_state_data,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLK,nan_state_features,,,2026-07-28T05:46:18.075716+00:00,2026-07-28T05:46:30.593273+00:00,,,,,,,,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,block,SPY,risk_gate,,,2026-07-28T05:46:30.526855+00:00,2026-07-28T05:46:30.614852+00:00,,,,,,,,state_session=afternoon + state_slope=downtrend,,,,,1h,,,,,,insample,True,False,2026-07-27 19:00:00+00:00,738.85,"{'state_ext': 'neutral', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_volume': 'vol_quiet', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_utc_session': 'utc_us', 'state_weekpart': 'weekday', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_up', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'mod_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_flat', 'state_vol_day': 'vol_day_mid', 'state_funding': 'funding_neutral', 'state_oi': 'oi_flat', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_weak', 'state_dxy': 'dxy_flat'}",,long,1.0,buy,738.85,state_slope=downtrend,5.0,2.0,SPY,gate_disabled,True,,,,conviction_with_vol_rail,1.0,1000.0,2.9728,1.0,100.0,14.0,"{'allowed': False, 'reasons': ['already have an open position in SPY'], 'details': {'symbol': 'SPY', 'qty': 1, 'price': 738.85, 'side': 'long', 'notional': 738.85, 'open_position_count': 1, 'today_realized_pnl': 0.0, 'risk_group': 'state_slope=downtrend', 'aggregate_risk': {'current_open_risk_dollars': 0.0, 'proposed_r_dollars': 5.95, 'projected_open_risk_dollars': 5.95, 'budget_dollars': 1999.05, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 0.0, 'proposed_notional': 738.85, 'projected_open_notional': 738.85, 'budget_notional': 99952.62, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 33, 'resolved_order_ids': 33, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",already have an open position in SPY
entry_signal,skip,XLF,no_state_data,,,2026-07-28T06:46:23.842288+00:00,2026-07-28T06:46:36.152881+00:00,,,,,,,no_state_data,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLF,nan_state_features,,,2026-07-28T06:46:23.852606+00:00,2026-07-28T06:46:36.176303+00:00,,,,,,,,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,skip,XLK,no_state_data,,,2026-07-28T06:46:23.871227+00:00,2026-07-28T06:46:36.200015+00:00,,,,,,,no_state_data,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLK,nan_state_features,,,2026-07-28T06:46:23.880992+00:00,2026-07-28T06:46:36.223284+00:00,,,,,,,,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,block,SPY,risk_gate,,,2026-07-28T06:46:36.151597+00:00,2026-07-28T06:46:36.246938+00:00,,,,,,,,state_session=afternoon + state_slope=downtrend,,,,,1h,,,,,,insample,True,False,2026-07-27 19:00:00+00:00,738.85,"{'state_ext': 'neutral', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_volume': 'vol_quiet', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_utc_session': 'utc_us', 'state_weekpart': 'weekday', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_up', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'mod_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_flat', 'state_vol_day': 'vol_day_mid', 'state_funding': 'funding_neutral', 'state_oi': 'oi_flat', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_weak', 'state_dxy': 'dxy_flat'}",,long,1.0,buy,738.85,state_slope=downtrend,5.0,2.0,SPY,gate_disabled,True,,,,conviction_with_vol_rail,1.0,1000.0,2.9728,1.0,100.0,14.0,"{'allowed': False, 'reasons': ['already have an open position in SPY'], 'details': {'symbol': 'SPY', 'qty': 1, 'price': 738.85, 'side': 'long', 'notional': 738.85, 'open_position_count': 1, 'today_realized_pnl': 0.0, 'risk_group': 'state_slope=downtrend', 'aggregate_risk': {'current_open_risk_dollars': 0.0, 'proposed_r_dollars': 5.95, 'projected_open_risk_dollars': 5.95, 'budget_dollars': 1999.05, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 0.0, 'proposed_notional': 738.85, 'projected_open_notional': 738.85, 'budget_notional': 99952.62, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 33, 'resolved_order_ids': 33, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",already have an open position in SPY
entry_signal,skip,XLF,no_state_data,,,2026-07-28T07:46:20.816962+00:00,2026-07-28T07:46:30.952758+00:00,,,,,,,no_state_data,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLF,nan_state_features,,,2026-07-28T07:46:20.829321+00:00,2026-07-28T07:46:30.975704+00:00,,,,,,,,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,skip,XLK,no_state_data,,,2026-07-28T07:46:20.845374+00:00,2026-07-28T07:46:30.997931+00:00,,,,,,,no_state_data,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLK,nan_state_features,,,2026-07-28T07:46:20.854908+00:00,2026-07-28T07:46:31.019350+00:00,,,,,,,,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,block,SPY,risk_gate,,,2026-07-28T07:46:30.952466+00:00,2026-07-28T07:46:31.041266+00:00,,,,,,,,state_session=afternoon + state_slope=downtrend,,,,,1h,,,,,,insample,True,False,2026-07-27 19:00:00+00:00,738.85,"{'state_ext': 'neutral', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_volume': 'vol_quiet', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_utc_session': 'utc_us', 'state_weekpart': 'weekday', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_up', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'mod_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_flat', 'state_vol_day': 'vol_day_mid', 'state_funding': 'funding_neutral', 'state_oi': 'oi_flat', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_weak', 'state_dxy': 'dxy_flat'}",,long,1.0,buy,738.85,state_slope=downtrend,5.0,2.0,SPY,gate_disabled,True,,,,conviction_with_vol_rail,1.0,1000.0,2.9728,1.0,100.0,14.0,"{'allowed': False, 'reasons': ['already have an open position in SPY'], 'details': {'symbol': 'SPY', 'qty': 1, 'price': 738.85, 'side': 'long', 'notional': 738.85, 'open_position_count': 1, 'today_realized_pnl': 0.0, 'risk_group': 'state_slope=downtrend', 'aggregate_risk': {'current_open_risk_dollars': 0.0, 'proposed_r_dollars': 5.95, 'projected_open_risk_dollars': 5.95, 'budget_dollars': 1999.05, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 0.0, 'proposed_notional': 738.85, 'projected_open_notional': 738.85, 'budget_notional': 99952.6, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 33, 'resolved_order_ids': 33, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",already have an open position in SPY
entry_signal,skip,XLF,no_state_data,,,2026-07-28T08:46:17.621854+00:00,2026-07-28T08:46:25.575676+00:00,,,,,,,no_state_data,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLF,nan_state_features,,,2026-07-28T08:46:17.630445+00:00,2026-07-28T08:46:25.602110+00:00,,,,,,,,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,skip,XLK,no_state_data,,,2026-07-28T08:46:17.644094+00:00,2026-07-28T08:46:25.621889+00:00,,,,,,,no_state_data,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLK,nan_state_features,,,2026-07-28T08:46:17.651301+00:00,2026-07-28T08:46:25.722974+00:00,,,,,,,,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,block,SPY,risk_gate,,,2026-07-28T08:46:25.574809+00:00,2026-07-28T08:46:25.761885+00:00,,,,,,,,state_session=afternoon + state_slope=downtrend,,,,,1h,,,,,,insample,True,False,2026-07-27 19:00:00+00:00,738.85,"{'state_ext': 'neutral', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_volume': 'vol_quiet', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_utc_session': 'utc_us', 'state_weekpart': 'weekday', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_up', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'mod_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_flat', 'state_vol_day': 'vol_day_mid', 'state_funding': 'funding_neutral', 'state_oi': 'oi_flat', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_weak', 'state_dxy': 'dxy_flat'}",,long,1.0,buy,738.85,state_slope=downtrend,5.0,2.0,SPY,gate_disabled,True,,,,conviction_with_vol_rail,1.0,1000.0,2.9728,1.0,100.0,14.0,"{'allowed': False, 'reasons': ['already have an open position in SPY'], 'details': {'symbol': 'SPY', 'qty': 1, 'price': 738.85, 'side': 'long', 'notional': 738.85, 'open_position_count': 1, 'today_realized_pnl': 0.0, 'risk_group': 'state_slope=downtrend', 'aggregate_risk': {'current_open_risk_dollars': 0.0, 'proposed_r_dollars': 5.95, 'projected_open_risk_dollars': 5.95, 'budget_dollars': 1999.05, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 0.0, 'proposed_notional': 738.85, 'projected_open_notional': 738.85, 'budget_notional': 99952.6, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 33, 'resolved_order_ids': 33, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",already have an open position in SPY
entry_signal,skip,XLF,no_state_data,,,2026-07-28T09:46:20.046841+00:00,2026-07-28T09:46:30.112761+00:00,,,,,,,no_state_data,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLF,nan_state_features,,,2026-07-28T09:46:20.057578+00:00,2026-07-28T09:46:30.135472+00:00,,,,,,,,state_ext=stretched_up + state_slope=flat,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,skip,XLK,no_state_data,,,2026-07-28T09:46:20.075729+00:00,2026-07-28T09:46:30.158221+00:00,,,,,,,no_state_data,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
state_unavailable,skip,XLK,nan_state_features,,,2026-07-28T09:46:20.086912+00:00,2026-07-28T09:46:30.179936+00:00,,,,,,,,cross_TLT_state_slope=uptrend + state_ext=neutral,,,,,1d,,,,,,insample,,,2026-07-24 04:00:00+00:00,,{},,,,,,,,,,,,,,,,,,,,,,,
entry_signal,block,SPY,risk_gate,,,2026-07-28T09:46:30.112238+00:00,2026-07-28T09:46:30.202297+00:00,,,,,,,,state_session=afternoon + state_slope=downtrend,,,,,1h,,,,,,insample,True,False,2026-07-27 19:00:00+00:00,738.85,"{'state_ext': 'neutral', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_volume': 'vol_quiet', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_utc_session': 'utc_us', 'state_weekpart': 'weekday', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_up', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'mod_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_flat', 'state_vol_day': 'vol_day_mid', 'state_funding': 'funding_neutral', 'state_oi': 'oi_flat', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_weak', 'state_dxy': 'dxy_flat'}",,long,1.0,buy,738.85,state_slope=downtrend,5.0,2.0,SPY,gate_disabled,True,,,,conviction_with_vol_rail,1.0,1000.0,2.9728,1.0,100.0,14.0,"{'allowed': False, 'reasons': ['already have an open position in SPY'], 'details': {'symbol': 'SPY', 'qty': 1, 'price': 738.85, 'side': 'long', 'notional': 738.85, 'open_position_count': 1, 'today_realized_pnl': 0.0, 'risk_group': 'state_slope=downtrend', 'aggregate_risk': {'current_open_risk_dollars': 0.0, 'proposed_r_dollars': 5.95, 'projected_open_risk_dollars': 5.95, 'budget_dollars': 1999.05, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 0.0, 'proposed_notional': 738.85, 'projected_open_notional': 738.85, 'budget_notional': 99952.6, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 33, 'resolved_order_ids': 33, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",already have an open position in SPY
